0	-3.28852963289236
1	-3.27046297931284
2	-3.25215873442963
3	-3.23385095430797
4	-3.2155473436364
5	-3.1972554251086
6	-3.17898253803687
7	-3.16073583732497
8	-3.14252229278487
9	-3.12434868878208
10	-3.10622162419392
11	-3.08814751266498
12	-3.07013258314448
13	-3.05218288068983
14	-3.03430426752112
15	-3.01650242431138
16	-2.99878285169774
17	-2.98115087199869
18	-2.96361163112331
19	-2.94617010065822
20	-2.92883108011874
21	-2.91159919935099
22	-2.89447892107207
23	-2.87747454353567
24	-2.86059020331157
25	-2.84382987816685
26	-2.82719739003839
27	-2.81069640808539
28	-2.79433045181217
29	-2.77810289425132
30	-2.76201696519804
31	-2.74607575448678
32	-2.73028221530201
33	-2.71463916751508
34	-2.69914930103975
35	-2.68381517919951
36	-2.66863924209998
37	-2.65362381000019
38	-2.63877108667723
39	-2.62408316277854
40	-2.60956201915715
41	-2.59520953018501
42	-2.58102746704044
43	-2.56701750096539
44	-2.55318120648923
45	-2.5395200646156
46	-2.52603546596944
47	-2.51272871390135
48	-2.499601027547
49	-2.48665354483934
50	-2.47388732547168
51	-2.46130335380995
52	-2.44890254175268
53	-2.43668573153743
54	-2.42465369849247
55	-2.41280715373312
56	-2.40114674680169
57	-2.38967306825053
58	-2.37838665216814
59	-2.36728797864737
60	-2.35637747619632
61	-2.34565552409132
62	-2.33512245467247
63	-2.3247785555816
64	-2.31462407194323
65	-2.30465920848873
66	-2.29488413162398
67	-2.28529897144146
68	-2.27590382367677
69	-2.26669875161074
70	-2.25768378791747
71	-2.24885893645907
72	-2.24022417402798
73	-2.23177945203754
74	-2.22352469816167
75	-2.21545981792448
76	-2.20758469624066
77	-2.19989919890763
78	-2.19240317405018
79	-2.18509645351854
80	-2.17797885424088
81	-2.17105017953099
82	-2.16431022035215
83	-2.157758756538
84	-2.15139555797138
85	-2.14522038572195
86	-2.13923299314344
87	-2.13343312693157
88	-2.12782052814312
89	-2.12239493317739
90	-2.11715607472057
91	-2.11210368265393
92	-2.10723748492654
93	-2.1025572083933
94	-2.09806257961909
95	-2.09375332564956
96	-2.08962917474939
97	-2.08568985710865
98	-2.08193510551788
99	-2.07836465601246
100	-2.07497824848689
101	-2.07177562727963
102	-2.06875654172879
103	-2.06592074669951
104	-2.06326800308311
105	-2.06079807826888
106	-2.0585107465886
107	-2.05640578973437
108	-2.05448299715003
109	-2.05274216639664
110	-2.0511831034921
111	-2.04980562322549
112	-2.04860954944616
113	-2.0475947153279
114	-2.04676096360839
115	-2.04610814680415
116	-2.04563612740095
117	-2.04534477802007
118	-2.04523398156038
119	-2.04530363131619
120	-2.04555363107115
121	-2.04598389516799
122	-2.04659434855425
123	-2.04738492680382
124	-2.0483555761144
125	-2.04950625328051
126	-2.05083692564224
127	-2.05234757100935
128	-2.0540381775606
129	-2.05590874371824
130	-2.05795927799716
131	-2.06018979882874
132	-2.06260033435884
133	-2.06519092221982
134	-2.06796160927611
135	-2.07091245134303
136	-2.07404351287848
137	-2.07735486664692
138	-2.08084659335552
139	-2.08451878126156
140	-2.08837152575099
141	-2.09240492888734
142	-2.09661909893053
143	-2.10101414982505
144	-2.1055902006568
145	-2.11034737507797
146	-2.11528580069942
147	-2.12040560844977
148	-2.12570693190042
149	-2.13118990655607
150	-2.13685466910959
151	-2.14270135666087
152	-2.14873010589847
153	-2.15494105224366
154	-2.16133432895563
155	-2.16791006619736
156	-2.17466839006101
157	-2.18160942155223
158	-2.18873327553218
159	-2.19604005961667
160	-2.20352987303129
161	-2.21120280542174
162	-2.21905893561835
163	-2.22709833035391
164	-2.23532104293385
165	-2.24372711185795
166	-2.25231655939243
167	-2.26108939009179
168	-2.27004558926929
169	-2.27918512141527
170	-2.28850792856242
171	-2.29801392859719
172	-2.30770301351651
173	-2.31757504762897
174	-2.32762986569987
175	-2.33786727103925
176	-2.3482870335324
177	-2.35888888761215
178	-2.36967253017255
179	-2.38063761842319
180	-3.19178376768409
181	-4.00311054912063
182	-4.0146174874184
183	-4.02630405839773
184	-4.03816968656809
185	-4.05021374262217
186	-4.06243554087021
187	-4.07483433661452
188	-4.08740932346512
189	-4.10015963059687
190	-4.11308431994896
191	-4.12618238336784
192	-4.13945273969477
193	-4.15289423179931
194	-4.16650562356032
195	-4.18028559679653
196	-4.19423274814845
197	-4.20834558591411
198	-4.22262252684121
199	-4.23706189287849
200	-4.25166190788945
201	-4.266420694332
202	-4.28133626990769
203	-4.29640654418467
204	-4.31162931519891
205	-4.32700226603831
206	-4.34252296141513
207	-4.35818884423211
208	-4.37399723214836
209	-4.38994531415131
210	-4.40603014714164
211	-4.42224865253827
212	-4.43859761291117
213	-4.45507366865003
214	-4.47167331467744
215	-4.48839289721547
216	-4.50522861061525
217	-4.5221764942594
218	-4.53923242954774
219	-4.55639213697725
220	-4.57365117332741
221	-4.5910049289628
222	-4.60844862526533
223	-4.62597731220841
224	-4.64358586608641
225	-4.66126898741283
226	-4.67902119900091
227	-4.69683684424096
228	-4.71471008558893
229	-4.73263490328101
230	-4.75060509428931
231	-4.76861427153402
232	-4.78665586336727
233	-4.80472311334457
234	-4.82280908029921
235	-4.84090663873551
236	-4.85900847955624
237	-4.87710711114013
238	-4.89519486078433
239	-4.91326387652718
240	-4.93130612936583
241	-4.9493134158831
242	-4.96727736129729
243	-4.98518942294803
244	-5.00304089423095
245	-5.02082290899225
246	-5.03852644639469
247	-5.05614233626418
248	-5.07366126492602
249	-5.09107378153802
250	-5.10837030492694
251	-5.12554113093281
252	-5.14257644026446
253	-5.1594663068679
254	-5.17620070680754
255	-5.19276952765815
256	-5.20916257840412
257	-5.22536959983997
258	-5.24138027546442
259	-5.25718424285797
260	-5.27277110553215
261	-5.28813044523544
262	-5.30325183469993
263	-5.3181248508091
264	-5.3327390881656
265	-5.34708417303544
266	-5.3611497776424
267	-5.37492563478424
268	-5.38840155274026
269	-5.40156743043726
270	-5.41441327283862
271	-5.42692920651981
272	-5.43910549539076
273	-5.45093255652452
274	-5.46240097604925
275	-5.47350152505931
276	-5.48422517549984
277	-5.49456311597788
278	-5.50450676745191
279	-5.51404779875136
280	-5.52317814187624
281	-5.53189000702754
282	-5.54017589731824
